City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,udachny,66.4167,112.4,296.18,30,18,4.12,RU,1690782611
83,margaret river,-33.95,115.0667,289.02,56,76,3.42,AU,1690782612
84,bodmin,50.4715,-4.7243,289.51,94,75,5.14,GB,1690782614
85,mogadishu,2.0371,45.3438,299.08,89,40,5.14,SO,1690782428
86,edinburgh of the seven seas,-37.0676,-12.3116,286.67,91,100,7.79,SH,1690782616
87,crane,31.3974,-102.3501,301.8,40,46,4.76,US,1690782617
88,bardai,11.65,7.2333,296.4,85,80,3.43,NG,1690782455
89,aykhal,66.0,111.5,294.85,28,60,5.1,RU,1690782620
90,afaahiti,-17.75,-149.2833,297.08,77,57,8.96,PF,1690782444
91,bredasdorp,-34.5322,20.0403,283.31,77,85,6.77,ZA,1690782623
92,cherdyn',60.403,56.4787,298.53,42,3,4.62,RU,1690782624
93,nikolayevsk-on-amure,53.1406,140.73,300.78,37,16,3.07,RU,1690782626
94,port isabel,26.0734,-97.2086,302.6,86,0,4.12,US,1690782627
95,samfya,-11.3649,29.5565,291.73,42,6,2.03,ZM,1690782628
96,raja,8.4596,25.678,295.06,94,100,0.46,SS,1690782629
97,alpu,39.769,30.9606,294.46,49,0,0.64,TR,1690782632
98,saint ann's bay,18.4358,-77.201,296.42,77,31,3.32,JM,1690782633
99,talara,-4.5772,-81.2719,294.34,84,8,5.49,PE,1690782634
100,remire-montjoly,4.9167,-52.2667,296.17,94,0,1.03,GF,1690782635
101,mohr,54.3528,9.7167,288.2,94,75,4.63,DE,1690782637
102,videira,-27.0083,-51.1517,282.83,97,28,0.66,BR,1690782638
103,lebu,-37.6167,-73.65,285.53,89,100,2.96,CL,1690782639
104,nyazepetrovsk,56.0531,59.6028,295.31,54,96,3.76,RU,1690782640
105,salmon arm,50.6998,-119.3024,295.77,30,25,0.51,CA,1690782641
106,nova sintra,14.8667,-24.7167,296.27,82,99,1.79,CV,1690782643
107,ust'-ilimsk,58.0006,102.6619,291.53,93,100,3.6,RU,1690782644
108,hoa binh,20.8133,105.3383,305.37,76,99,0.76,VN,1690782645
109,sanctuary point,-35.1114,150.629,294.37,38,0,3.77,AU,1690782647
110,carnarvon,-24.8667,113.6333,296.23,30,0,2.07,AU,1690782450
111,olonkinbyen,70.9221,-8.7187,279.43,89,100,1.4,SJ,1690782411
112,masterton,-40.9597,175.6575,284.75,85,50,4.0,NZ,1690782651
113,badger,64.8,-147.5333,294.55,73,100,1.54,US,1690782652
114,aden,12.7794,45.0367,304.13,67,59,5.44,YE,1690782654
115,oranjemund,-28.55,16.4333,283.07,70,0,4.34,NA,1690782655
116,singkil,-7.9855,111.4161,302.35,48,17,2.94,ID,1690782489
117,xilin hot,43.9667,116.0333,302.92,39,100,5.16,CN,1690782657
118,purpe,64.4803,76.6897,295.52,56,43,6.06,RU,1690782658
119,lihue,21.9789,-159.3672,300.73,76,40,6.17,US,1690782660
120,miquelon,47.0975,-56.3814,289.15,89,88,3.74,PM,1690782661
